Date;Time;Severity;TID;This;Function;Message
2019/05/19;17:55:44.483;DEBUG;14516;0000000000000000;InitLog@99;"InitLog"
2019/05/19;17:55:44.484;DEBUG;14516;0000000000000000;DllMain@588;"DLL is attach to process"
2019/05/19;17:55:44.484;DEBUG;14516;0000000000000000;GetCurrentProcInfo@159;"Current Process Name: tryAddSfml.exe"
2019/05/19;17:55:44.484;DEBUG;14516;0000000000000000;GetCurrentProcInfo@167;"Current Process ID: 3824"
2019/05/19;17:55:44.484;DEBUG;14516;0000000000000000;GetCurrentProcInfo@173;"Current Directory: D:\Курсовая работа\tryAddSfml\x64\Release"
2019/05/19;17:55:44.484;DEBUG;14516;0000000000000000;InitEvents@571;"Init events: CAMOverlayStarted3824"
2019/05/19;17:55:44.587;DEBUG;13532;0000000000000000;InitHook@447;"Init hook"
2019/05/19;17:55:44.588;DEBUG;13532;0000000000000000;InitNamedPipes@438;"Named pipe initialized: "
2019/05/19;17:55:44.601;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:55:44.741;DEBUG;13532;0000000000000000;HookDXGI@228;"Hooked DXGI"
2019/05/19;17:55:44.741;DEBUG;13532;0000000000000000;TryHook@510;"DXGI(D10, D11, D12) is hooked"
2019/05/19;17:55:44.742;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:55:44.742;DEBUG;13532;0000000000000000;HookGL@194;"Hooked OpenGL"
2019/05/19;17:55:44.742;DEBUG;13532;0000000000000000;TryHook@523;"OpenGL is hooked"
2019/05/19;17:55:47.601;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:55:48.869;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:55:52.645;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:55:52.971;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:55:55.679;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:55:57.072;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:55:58.686;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:01.175;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:01.692;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:04.701;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:05.274;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:07.702;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:09.376;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:10.789;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:13.468;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:13.791;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:16.793;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:17.562;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:19.796;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:21.662;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:22.798;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:25.762;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:25.801;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:28.804;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:29.860;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:31.806;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:56:33.953;DEBUG;13532;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:56:34.821;DEBUG;1792;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:13.069;DEBUG;11360;0000000000000000;InitLog@99;"InitLog"
2019/05/19;17:59:13.069;DEBUG;11360;0000000000000000;DllMain@588;"DLL is attach to process"
2019/05/19;17:59:13.069;DEBUG;11360;0000000000000000;GetCurrentProcInfo@159;"Current Process Name: tryAddSfml.exe"
2019/05/19;17:59:13.069;DEBUG;11360;0000000000000000;GetCurrentProcInfo@167;"Current Process ID: 15112"
2019/05/19;17:59:13.069;DEBUG;11360;0000000000000000;GetCurrentProcInfo@173;"Current Directory: D:\Курсовая работа\tryAddSfml\x64\Release"
2019/05/19;17:59:13.069;DEBUG;11360;0000000000000000;InitEvents@571;"Init events: CAMOverlayStarted15112"
2019/05/19;17:59:13.174;DEBUG;14836;0000000000000000;InitHook@447;"Init hook"
2019/05/19;17:59:13.175;DEBUG;14836;0000000000000000;InitNamedPipes@438;"Named pipe initialized: "
2019/05/19;17:59:13.178;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:13.193;DEBUG;14836;0000000000000000;HookDXGI@228;"Hooked DXGI"
2019/05/19;17:59:13.193;DEBUG;14836;0000000000000000;TryHook@510;"DXGI(D10, D11, D12) is hooked"
2019/05/19;17:59:13.194;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:13.195;DEBUG;14836;0000000000000000;HookGL@194;"Hooked OpenGL"
2019/05/19;17:59:13.195;DEBUG;14836;0000000000000000;TryHook@523;"OpenGL is hooked"
2019/05/19;17:59:16.180;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:17.289;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:19.364;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:21.384;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:22.367;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:25.373;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:25.487;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:28.375;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:29.584;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:31.379;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:33.692;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:34.383;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:37.386;DEBUG;8052;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;17:59:37.840;DEBUG;14836;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:59.638;DEBUG;8004;0000000000000000;InitLog@99;"InitLog"
2019/05/19;17:59:59.638;DEBUG;8004;0000000000000000;DllMain@588;"DLL is attach to process"
